Expected total responses,1049
Success count,1049
Error count,0
Unverified response count,0
See download status column for download errors
Response ID,Timestamp,Download Status,ជម្រើសរាជធានី ឬខេត្ត,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកណ្តាល,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកែប,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកោះកុង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តក្រចេះ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ចាម,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ឆ្នាំង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ធំ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពង់ស្ពឺ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តកំពត,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តតាកែវ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តត្បូងឃ្មុំ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តបន្ទាយមានជ័យ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តប៉ៃលិន,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តបាត់ដំបង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តពោធិ៍សាត់,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រៃវែង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រះវិហារ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តព្រះសីហនុ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល រាជធានីភ្នំពេញ,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តមណ្ឌលគិរី,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តរតនគិរី,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តសៀមរាប,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តស្ទឹងត្រែង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តស្វាយរៀង,ជម្រើសឈ្មោះមូលដ្ខានសុខាភិបាល ខេត្តឧត្ដរមានជ័យ,រយៈទទឹង និងរយៈបណ្តោយ​ (Latitude and longitude),តំណភ្ជាប់ផែនទី (Map Link),រូបភាពមូលដ្ខានសុខាភិបាល,ជម្រើសពីបញ្ជីឈ្មោះមូលដ្ខានសុខាភិបាល ឬបញ្ជូលថ្មី,ប្រភេទសេវា,ឈ្មោះមូលដ្ឋានសុខាភិបាលជាអក្សរខ្មែរ,ឈ្មោះមូលដ្ឋានសុខាភិបាលជាអក្សរឡាតាំង,លេខលិខិតអនុញ្ញាត,កាលបរិច្ឆេទអនុញ្ញាត,កាលបរិច្ឆេទផុតសុពលភាពនៃលិខិតអនុញ្ញាត,ចំនួនបុគ្គលិក&ពេទ្យ
67dd08ad03c4e40012ac2b0f,21 Mar 2025 01:35:25 PM,Success (with Downloaded Attachment),ក្រចេះ,,,,មន្ទីរសម្រាកព្យាបាល ឆ្លូង (Chlong - 522),,,,,,,,,,,,,,,,,,,,,,123,123,Preah_Ang_Duong_Hospital.jpg,,,,,,,,
67dd08c38ab53c001142f75b,21 Mar 2025 01:35:47 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរព្យាបាលមាត់-ធ្មេញ ប្រាក់ ស្រ៊ុន ២ (Prak Srun 2 - 2111),,,,,,,1111,1111,Database M.pdf,,,,,,,,
67dd0c498ab53c0011432a06,21 Mar 2025 01:50:49 PM,Success (with Downloaded Attachment),ក្រចេះ,,,,មន្ទីរសម្រាកព្យាបាល ព្រាបស (Preabsa - 525),,,,,,,,,,,,,,,,,,,,,,123,123,Preah_Ang_Duong_Hospital.jpg,,,,,,,,
67e20ffe2d88aa0012a19e98,25 Mar 2025 09:07:58 AM,Success (with Downloaded Attachment),កំពង់ធំ,,,,,,,មន្ទីរសម្រាកព្យាបាល ឆាយ រិទ្ធី (Chhay Rithy - 965),,,,,,,,,,,,,,,,,,,12 x 36,https://maps.app.goo.gl/FMYnjekyPXw1X3sQ7?g_st=com.google.maps.preview.copy,image.jpg,,,,,,,,
67e212c9b841cb0012eaa2e5,25 Mar 2025 09:19:53 AM,Success (with Downloaded Attachment),កណ្ដាល,មន្ទីរសម្រាកព្យាបាល ព្រែកឃ្លោក (Prek Klok - 1110),,,,,,,,,,,,,,,,,,,,,,,,,"11.322957156996983, 105.06080492482161",https://maps.app.goo.gl/FH6zikT2geLVcbXL9?g_st=ic,att.NCsoSM9BIFIZvYmQ4T3cPo6VbtBuvYS0hQUb03VSspU.jpeg,,,,,,,,
67e21f8a2d88aa0012a1b69d,25 Mar 2025 10:14:18 AM,Success (with Downloaded Attachment),រតនគិរី,,,,,,,,,,,,,,,,,,,,,មន្ទីរពិសោធន៍វេជ្ជសាស្ត ប៊ីយ៉ូឡាប រតនគីរី (Bio Lab Ratanakiri - 937),,,,,https://maps.app.goo.gl/Kb3dbeEnmiZzZt4v9,https://maps.app.goo.gl/Kb3dbeEnmiZzZt4v9,photo01.jpg,,,,,,,,
67e223df2d88aa0012a1bc38,25 Mar 2025 10:32:47 AM,Success (with Downloaded Attachment),កំពង់ធំ,,,,,,,មន្ទីរសម្រាកព្យាបាល សុខភាពកំពង់ថ្ម (Kampong Thom Health - 2007),,,,,,,,,,,,,,,,,,,"12.4987938,105.1251736","https://www.google.com/maps/place/%E1%9E%82%E1%9F%92%E1%9E%9B%E1%9E%B8%E1%9E%93%E1%9E%B7%E1%9E%80+%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%97%E1%9E%B6%E1%9E%96%E1%9E%80%E1%9F%86%E1%9E%96%E1%9E%84%E1%9F%8B%E1%9E%90%E1%9F%92%E1%9E%98+Sokhapeap+Kampong+Thmor+Clinic/@12.4987938,105.1251736,18z/data=!4m10!1m2!2m1!1z4Z6Y4Z6T4Z-S4Z6R4Z644Z6a4Z6f4Z6Y4Z-S4Z6a4Z624Z6A4Z6W4Z-S4Z6Z4Z624Z6U4Z624Z6bIOGen-Geu-GegeGel-GetuGeluGegOGfhuGeluGehOGfi-GekOGfkuGemA!3m6!1s0x310dd15ce5c2b1b3:0xf1ba89c047401a70!8m2!3d12.4987937!4d105.1274363!15sCmThnpjhnpPhn5LhnpHhnrjhnprhnp_hnpjhn5LhnprhnrbhnoDhnpbhn5LhnpnhnrbhnpThnrbhnpsg4Z6f4Z674Z6B4Z6X4Z624Z6W4Z6A4Z-G4Z6W4Z6E4Z-L4Z6Q4Z-S4Z6YkgEIaG9zcGl0YWzgAQA!16s%2Fg%2F11v6bn1wrh?entry=ttu&g_ep=EgoyMDI1MDMxOS4yIKXMDSoASAFQAw%3D%3D",2.jpg,,,,,,,,
67e2323db841cb0012ead451,25 Mar 2025 11:34:05 AM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល ប៊េសឃែរ (Best Care - 1957),,,,,,,10401243351600ហ,https://maps.app.goo.gl/Dk5URrJPUA4yjkC28,photo_2025-02-13_14-23-12.jpg,,,,,,,,
67e249b62d88aa0012a222dd,25 Mar 2025 01:14:14 PM,Success (with Downloaded Attachment),កណ្ដាល,មន្ទីរសម្រាកព្យាបាល ទេពមង្គល (Tep Mongkol - 375),,,,,,,,,,,,,,,,,,,,,,,,,"11.504860919316332, 104.70108262067977",https://maps.app.goo.gl/DeyUfBipDeCD8FLp6,Clinic Photo.jpg,,,,,,,,
67e24fd72d88aa0012a240d9,25 Mar 2025 01:40:23 PM,Success (with Downloaded Attachment),ភ្នំពេញ,,,,,,,,,,,,,,,,,,,មន្ទីរសម្រាកព្យាបាល សែនមនោរម្យ (Sen Monorom - 835),,,,,,,"11.523774101791497, 104.80560532863392",https://maps.app.goo.gl/RMVihY3nEMJtcFdeA,photo_2024-12-19_07-25-15.jpg,,,,,,,,
